ID,titulo,Duracion,Año,Sinopsis,Genero,Actores,Tipo,Link
1,The Kill Room,97 MINS,2023,A hit man teams up with an art dealer for a money-laundering scheme that unwittingly turns him into an avant-garde sensation.,"COMEDY, SUSPENSE","Starring Uma Thurman, Joe Manganiello, Samuel L. Jackson",Pelicula,https://www.starz.com/us/en/movies/the-kill-room-71632
2,Navy Seals Vs. Zombies,96 MINS,2015,A team of Navy SEALS quickly discovers it is facing a growing horde of zombies when it is sent into a city in Louisiana to find the vice president aft,"ACTION, HORROR","Starring Ed Quinn, Michael Dudikoff, Rick Fox",Pelicula,https://www.starz.com/us/en/movies/navy-seals-vs-zombies-70852
3,Meeting Evil,89 MINS,2012,"John is taken on a murder-fueled ride by a mysterious stranger who transforms the weak-willed, disillusioned husband and father into a hero willing to do anything to protect his family.","CRIME, DRAMA","Starring Samuel L. Jackson, Leslie Bibb, Luke Wilson",Pelicula,https://www.starz.com/us/en/movies/meeting-evil-52015
4,The Black Phone,103 MINS,2022,"Finney is a 13-year-old boy who's being held captive by a sadistic, masked killer. When a disconnected phone on the wall starts to ring, he soon discovers that he can hear the voices of the murderer's previous victims.","HORROR, SUSPENSE","Starring Ethan Hawke, Jeremy Davies, James Ransone",Pelicula,https://www.starz.com/us/en/movies/the-black-phone-64745
5,SuperFly,116 MINS,2018,Cocaine kingpin Youngblood Priest hatches a plan for one last score to get out of the game for good.,"ACTION, CRIME","Starring Trevor Jackson, Jason Mitchell, Michael Kenneth Williams",Pelicula,https://www.starz.com/us/en/movies/superfly-42970
6,Jumanji: The Next Level,123 MINS,2019,A team of friends returns to Jumanji to rescue one of their own and must brave parts unknown in order to escape the world's most dangerous game.,"ACTION, COMEDY","Starring Dwayne Johnson, Kevin Hart, Jack Black",Pelicula,https://www.starz.com/us/en/movies/jumanji-the-next-level-52161
7,Survive,108 MINS,2023,"When their plane crashes on a remote snow-covered mountain, Jane and Paul have to fight for their lives as the only remaining survivors. Together they embark on a harrowing journey out of the wilderness.","ACTION, ADVENTURE","Starring Sophie Turner, Corey Hawkins, Caroline Goodall",Pelicula,https://www.starz.com/us/en/movies/survive-69829
8,Catch .44,93 MINS,2011,A trio of bad girls look to get right with their crime boss by hijacking a shipment of drugs at a secluded diner - but a seriously crazed hitman will,"ACTION, DRAMA","Starring Forest Whitaker, Bruce Willis, Malin Akerman",Pelicula,https://www.starz.com/us/en/movies/catch-44-29602
9,Bad Boys For Life,124 MINS,2020,Detectives Mike Lowrey and Marcus Burnett team up again for another adventure.,"ACTION, COMEDY","Starring Will Smith, Martin Lawrence, Vanessa Hudgens",Pelicula,https://www.starz.com/us/en/movies/bad-boys-for-life-50297
10,John Wick: Chapter 4,169 MINS,2023,"With the price on his head ever increasing, legendary hit man John Wick takes his fight against the High Table global as he seeks out the most powerfu","ACTION, SUSPENSE","Starring Keanu Reeves, Bill Skarsgård, Donnie Yen",Pelicula,https://www.starz.com/us/en/movies/john-wick-chapter-4-66012
