ID,Titulo,Capitulos,Año,Sinopsis,Genero,Actores,Tipo,Link
1,Power Book III: Raising Kanan,30 Episodes,2021-2024,"Kanan and the rest of the Thomas family must confront an existential crisis that challenges their very identity. For those who do, the destination may","Crime, Drama","Starring Mekai Curtis, Patina Miller, London Brown",Serie,https://www.starz.com/us/en/series/power-book-iii-raising-kanan/58458
2,Hightown,30 Episodes,2021-2024,"Kanan and the rest of the Thomas family must confront an existential crisis that challenges their very identity. For those who do, the destination may","Crime, Drama","Starring Mekai Curtis, Patina Miller, London Brown",Serie,https://www.starz.com/us/en/series/hightown/57463
3,BMF,30 Episodes,2021-2024,"Kanan and the rest of the Thomas family must confront an existential crisis that challenges their very identity. For those who do, the destination may","Crime, Drama","Starring Mekai Curtis, Patina Miller, London Brown",Serie,https://www.starz.com/us/en/series/bmf/62264
4,Power Book II: Ghost,30 Episodes,2021-2024,"Kanan and the rest of the Thomas family must confront an existential crisis that challenges their very identity. For those who do, the destination may","Crime, Drama","Starring Mekai Curtis, Patina Miller, London Brown",Serie,https://www.starz.com/us/en/series/power-book-ii-ghost/58002
5,Power Book IV: Force,20 Episodes,2022-2023,"Tommy Egan is on a mission to avenge Liliana and take over Chicago. After setting off a chain reaction of violence in pursuit of his ambition, he must decide what he's willing to sacrifice to ascend a kingpin's throne.","Crime, Drama","Starring Joseph Sikora, Lucien Cambric, Anthony Fleming III",Serie,https://www.starz.com/us/en/series/power-book-iv-force/62261
6,Power,63 Episodes,2014-2020,"Season 6 picks up with James ""Ghost"" St. Patrick seeking vengeance. His former drug partner and brother in arms must pay for the ultimate betrayal.",Drama,"Starring Joseph Sikora, Luis Antonio Ramos, Greg Serano",Serie,https://www.starz.com/us/en/series/power/21220
7,P-Valley,18 Episodes,2020-2022,"When darkness descends upon Chucalissa, errybody and they mama must fight tooth and talon to survive.",Drama,"Starring Brandee Evans, Nicco Annan, Shannon Thornton",Serie,https://www.starz.com/us/en/series/p-valley/46156
8,Spartacus,39 Episodes,2010-2013,"Betrayed by the Romans. Forced into slavery. Reborn as a Gladiator. Torn from his homeland and the woman he loves, Spartacus is condemned to the bruta","Action, Drama","Starring Andy Whitfield, Lucy Lawless, John Hannah",Serie,https://www.starz.com/us/en/series/spartacus/5972
9,Outlander,83 Episodes,2014-2023,"In order to protect what they've built, the Frasers have to navigate the Revolutionary War. They learn that sometimes to defend what you love, you hav","Drama, Literary/Book Based","Starring Caitriona Balfe, Sam Heughan, Sophie Skelton",Serie,https://www.starz.com/us/en/series/outlander/21796
10,The BMF Documentary: Blowing Money Fast,8 Episodes,2022-2022,"""BMF: Blowing Money Fast"" is a docuseries about the Black Mafia Family, who built one of the largest American cocaine empires.",Documentary,"Starring Curtis ""50 Cent"" Jackson",Serie,https://www.starz.com/us/en/series/the-bmf-documentary-blowing-money-fast/66052
11,The Serpent Queen,8 Episodes,2022-2022,"""BMF: Blowing Money Fast"" is a docuseries about the Black Mafia Family, who built one of the largest American cocaine empires.",Documentary,"Starring Curtis ""50 Cent"" Jackson",Serie,https://www.starz.com/us/en/series/the-serpent-queen/64208
12,The White Queen,10 Episodes,2013-2013,The White Queen is a riveting portrayal of one of the most dramatic and turbulent times in English history. This epic begins in war-torn 1464 and is u,"Drama, Literary/Book Based","Starring Rebecca Ferguson, Aneurin Barnard, Amanda Hale",Serie,https://www.starz.com/us/en/series/the-white-queen/18124
13,The Spanish Princess,16 Episodes,2019-2020,The Spanish Princess series return continues the story of Queen Catherine and Henry VIII. Presiding over the most glamorous court in Europe and belove,"Drama, Historical","Starring Charlotte Hope, Richard Pepper, Harriet Walter",Serie,https://www.starz.com/us/en/series/the-spanish-princess/42457
14,Wrong Man,13 Episodes,2018-2020,"'Wrong Man"" is a six-episode series from acclaimed award-winning filmmaker Joe Berlinger (Paradise Lost Trilogy) that examines cases of inmates who have been incarcerated for decades and claim they're innocent.","Documentary, Drama","Starring Ronald Kuby, Joe D. Kennedy, Sue-Ann Robinson",Serie,https://www.starz.com/us/en/series/wrong-man/38184
15,Black Sails,38 Episodes,2014-2017,"Hundreds of British soldiers lie dead in a forest...the Royal Navy sails back to England...the West Indies are now a war zone, and the shores of New P","Drama, Action","Starring Mark Ryan, Toby Stephens, Hannah New",Serie,https://www.starz.com/us/en/series/black-sails/19568
16,The White Princess,8 Episodes,2017-2017,"""The White Princess"" charts one of the most tumultuous times in British history uniquely from the viewpoint of the women waging the battle for power.","Drama, Literary/Book Based","Starring Jodie Comer, Jacob Collins-Levy, Rebecca Benson",Serie,https://www.starz.com/us/en/series/the-white-princess/30887
17,Men In Kilts: A Roadtrip With Sam and Graham,12 Episodes,2021-2023,"Sam Heughan and Graham McTavish hit the road again with season two of ""Men In Kilts: A Roadtrip With Sam and Graham,"" taking fans on a new journey thr",Documentary,"Starring Jodie Comer, Jacob Collins-Levy, Rebecca Benson",Serie,https://www.starz.com/us/en/series/men-in-kilts-a-roadtrip-with-sam-and-graham/60275
18,Origins of Hip-Hop,12 Episodes,2021-2023,"Sam Heughan and Graham McTavish hit the road again with season two of ""Men In Kilts: A Roadtrip With Sam and Graham,"" taking fans on a new journey thr",Documentary,"Starring Jodie Comer, Jacob Collins-Levy, Rebecca Benson",Serie,https://www.starz.com/us/en/series/origins-of-hip-hop/69706
19,The Missing,16 Episodes,2014-2017,A young woman walks into the town she was abducted from 11 years previously – does she hold the key to the whereabouts of another missing girl?,"Drama, Crime","Starring James Nesbitt, Frances O'Connor, Tcheky Karyo",Serie,https://www.starz.com/us/en/series/the-missing/22387
20,Survivor's Remorse,36 Episodes,2014-2017,"Cam Calloway thought he'd finally reached the top when he got signed. But the higher you reach, the farther you can fall. The past that he has been av",Comedy,"Starring Jessie T. Usher, RonReaco Lee, Erica Ash",Serie,https://www.starz.com/us/en/series/survivors-remorse/22355
