Titulo,Temporadas,Capitulos,Nombre del capitulo,Duracion y Fecha,Sinopsis del capitulo,Link
Power Book III: Raising Kanan,3,10,Ep 310 - MADE YOU LOOK,TV-MA | 51 MINS | 2024,"Desperation sets in as Howard tries to evade the Task Force and Ronnie goes on the attack, leaving Raq and Kanan to make some fateful choices.",https://www.starz.com/us/en/series/power-book-iii-raising-kanan/58458
Hightown,3,10,Ep 310 - MADE YOU LOOK,TV-MA | 51 MINS | 2024,"Desperation sets in as Howard tries to evade the Task Force and Ronnie goes on the attack, leaving Raq and Kanan to make some fateful choices.",https://www.starz.com/us/en/series/hightown/57463
BMF,3,10,Ep 210 - New Beginnings,TV-MA | 51 MINS | 2023,"Meech and Terry finally handle Detective Bryant, Lamar, and B-Mickie before charting the next big step for BMF's expansion, which will change the course of their relationship forever.",https://www.starz.com/us/en/series/bmf/62264
Power Book II: Ghost,3,10,Ep 310 - Divided We Stand,TV-MA | 61 MINS | 2023,"Tariq is forced to join forces with those who betrayed him in order to prevent the worst possible outcome for everyone. Monet elevates her position within the business, reaffirming her power...",https://www.starz.com/us/en/series/power-book-ii-ghost/58002
Power Book IV: Force,2,10,Ep 310 - Divided We Stand,TV-MA | 61 MINS | 2023,"Tariq is forced to join forces with those who betrayed him in order to prevent the worst possible outcome for everyone. Monet elevates her position within the business, reaffirming her power...",https://www.starz.com/us/en/series/power-book-iv-force/62261
Power,6,15,Ep 615 - Exactly How We Planned,TV-MA | 80 MINS | 2020,When Ghost is announced as Lt. Governor it gives him a solid win and makes him one step closer to a fully legitimate world. He soon discovers one of his many enemies carrying out a plan that...,https://www.starz.com/us/en/series/power/21220
P-Valley,2,10,Ep 210 - Mississippi Rule,TV-MA | 67 MINS | 2022,"It's the big finale, y'all. New beginnings and endings abound in Chucalissa.",https://www.starz.com/us/en/series/p-valley/46156
Spartacus,4,10,Victory,TV-MA | 59 MINS | 2013,Spartacus and his outnumbered rebels make one last attempt to win freedom in an epic final battle against the Romans. Extended version!,https://www.starz.com/us/en/series/spartacus/5972
Outlander,7,8,Ep 708 - Turning Points,TV-MA | 58 MINS | 2023,Jamie fights in the pivotal Second Battle of Saratoga. Roger and Brianna search for Jemmy.,https://www.starz.com/us/en/series/outlander/21796
The BMF Documentary: Blowing Money Fast,1,8,Ep 108 - Legacy,TV-MA | 27 MINS | 2022,"The Black Mafia Family story comes to a dramatic close, as law enforcement makes their final play. Meech and Terry hope their legacy won't be written with them behind bars.",https://www.starz.com/us/en/series/the-bmf-documentary-blowing-money-fast/66052
The Serpent Queen,1,8,Ep 108 - A Queen Is Made,TV-MA | 55 MINS | 2022,The planned kidnapping of King Francis goes awry but Catherine devises a new plan to allow her control of the country.,https://www.starz.com/us/en/series/the-serpent-queen/64208
The White Queen,1,10,The Final Battle,TV-MA | 63 MINS | 2013,"Reaching a climactic end to their respective journeys, Anne, Queen Elizabeth and Margaret give rise to a new generation looking to scheme, manipulate, and seduce their way onto the English throne.",https://www.starz.com/us/en/series/the-white-queen/18124
The Spanish Princess,2,8,Peace,TV-MA | 59 MINS | 2020,"As Henry descends into madness, the stakes have never been higher for Catherine. Her husband has become a threat to her life.",https://www.starz.com/us/en/series/the-spanish-princess/42457
